"Sign","Sign1","Name","Values","Values1","MesZL","ABZ/Labat","Codepoint","Values2","Values3","Path","MesZL_nu"
"𒐑","𒐑",60,"60 (6 times U, 6 times BUR2)","60 (6 times U, 6 times BUR<sub>2</sub>)","715","476","U+12411 (NUMERIC SIGN SIX U)","60 (6 times U, 6 times BUR2)","60 (6 times U, 6 times BUR2)","476-60",715
"𒐒","𒐒",70,"70 (7 times U, 7 times BUR2)","70 (7 times U, 7 times BUR<sub>2</sub>)","716","477","U+12412 (NUMERIC SIGN SEVEN U)","70 (7 times U, 7 times BUR2)","70 (7 times U, 7 times BUR2)","477-70",716
"𒐓","𒐓",80,"80 (8 times U, 8 times BUR2)","80 (8 times U, 8 times BUR<sub>2</sub>)","717","478","U+12413 (NUMERIC SIGN EIGHT U)","80 (8 times U, 8 times BUR2)","80 (8 times U, 8 times BUR2)","478-80",717
"𒐔","𒐔",90,"90 (9 times U, 9 times BUR2)","90 (9 times U, 9 times BUR<sub>2</sub>)","718","479","U+12414 (NUMERIC SIGN NINE U)","90 (9 times U, 9 times BUR2)","90 (9 times U, 9 times BUR2)","479-90",718
"𒑱","𒑱",":",": (division sign)",": (division sign)","592","378, 377n1","U+12471 (PUNCTUATION SIGN VERTICAL COLON)",": (division sign)",": (division sign)","–",592
"𒑢","𒑢","1/4","1/4","1/4</font> <font color=""#878787"">(MesZL: only Kültepe)</font>)","594","378an","U+12462 (OLD ASSYRIAN ONE QUARTER)","1/4 (MesZL: only Kültepe)","1/4","–",594
"𒑡","𒑡","1/6","1/6","1/6</font> <font color=""#878787"">(MesZL: only Kültepe)</font>)","630","395an","U+12461 (NUMERIC SIGN OLD ASSYRIAN ONE SIXTH)","1/6 (MesZL: only Kültepe)","1/6","–",630
"𒈫𒌍","𒈫𒌍","2,3","2, 30 (MIN.U.U.U; 2 30/60, 2+30, 2+1/2, 150)","2,30 (MIN.U.U.U; 2 30/60, 2+30 2+1/2 150)","831","578 (Labat), 578a (ABZ)","U+1222B & U+1230D (MIN & U U U)","2,30 (MIN.U.U.U; 2 30/60, 2+30, 2+1/2, 150)","2, 30 (MIN.U.U.U; 2 30/60, 2+30, 2+1/2, 150)","–",831
"𒀱","𒀱","4 × AN.NAGA forming a cross","4 × AN.NAGA forming a cross (AN.NAGA squared; DALḪAMUN4, RIḪAMUN4)","4 × AN.NAGA forming a cross (AN.NAGA squared; DALḪAMUN<sub>4</sub></font> <font color=""#878787"">(MesZL: instead of RIḪAMUN<sub>4</sub> of Deimel and Labat)</font>, <font color=""#c5000b"">RIḪAMUN<sub>4</sub></font> <font color=""#878787"">(Labat; MesZL: missing)</font>)","293","165a","U+12031 (AN PLUS NAGA SQUARED)","4 × AN.NAGA forming a cross (AN.NAGA squared; DALḪAMUN4 (MesZL: instead of RIḪAMUN4 of Deimel and Labat), RIḪAMUN4 (Labat; MesZL: missing))","4 × AN.NAGA forming a cross (AN.NAGA squared; DALHAMUN4, RIHAMUN4)","–",293
"𒀀","𒀀","A","A (ʾA4, ʾE4, ʾI4, ʾU4, AIA2, AŠA2, DU23, DUR5, DURU5, E4, EA, EBIR3, EPIR3, EŠ10, IA10, ID5, ME5, MU14, ṬUR5, ZE6)","A (<font color=""#c5000b"">ʾA<sub>4</sub></font> <font color=""#878787"">(Labat; MesZL: ʾA<sub>4</sub> = ḪA (no. 856))</font>, <font color=""#c5000b"">ʾE<sub>4</sub></font> <font color=""#878787"">(Labat; MesZL: ʾE<sub>4</sub> missing)</font>, <font color=""#c5000b"">ʾI<sub>4</sub></font> <font color=""#878787"">(Labat; MesZL: ʾI<sub>4</sub> missing)</font>, ʾU<sub>4</sub> <font color=""#878787"">(MesZL: Labat ʾU<sub>5</sub>; Labat: A = ʾU<sub>4</sub> (no. 839))</font>, AIA<sub>2</sub>, <font color=""#c5000b"">AŠA<sub>2</sub></font> <font color=""#878787"">(Labat; MesZL: AŠA<sub>2</sub> = AŠ<sub>2</sub> (no. 548))</font>, <font color=""#c5000b"">DU<sub>23</sub></font> <font color=""#878787"">(Labat; MesZL: DU<sub>23</sub> missing)</font>, DUR<sub>5</sub>, DURU<sub>5</sub>, E<sub>4</sub>, EA, EBIR<sub>3</sub>, EPIR<sub>3</sub>, EŠ<sub>10</sub>, IA<sub>10</sub>, ID<sub>5</sub></font> <font color=""#878787"">(MesZL: to be erased)</font>, ME<sub>5</sub>, MU<sub>14</sub>, ṬUR<sub>5</sub>, <font color=""#c5000b"">ZE<sub>6</sub></font> <font color=""#878787"">(Labat: ?; MesZL: ZE<sub>6</sub> missing)</font>)","839","579","U+12000 (A)","A (’A4 (Labat; MesZL: ’A4 = ḪA (no. 856), ’E4 (Labat; MesZL: ’E4 missing), ’I4 (Labat; MesZL: ’I4 missing), ’U4 (MesZL: Labat ’U5; Labat: A = ’U4 (no. 839)), AIA2, AŠA2 (Labat; MesZL: AŠA2 = AŠ2 (no. 548)), DU23 (Labat; MesZL: DU23 missing), DUR5, DURU5, E4, EA, EBIR3, EPIR3, EŠ10, IA10, ID5 (MesZL: to be erased), ME5, MU14, ṬUR5, ZE6 (Labat: ?; MesZL: ZE6 missing))","A (ʾA4, ʾE4, ʾI4, ʾU4, AIA2, ASHA2, DU23, DUR5, DURU5, E4, EA, EBIR3, EPIR3, ESH10, IA10, ID5, ME5, MU14, ṬUR5, ZE6)","579-A",839
