"Sign","Name"
"𒤦","|(1(N58).BAD)~b|"
"𒛫","|(BU~a&BU~a).NA₂~a|"
"󲐏","|(BU~a&BU~a).X|"
"𒛬","|(BU~a%BU~a).NA₂~a@n|"
"𒜵","|(DUB@n~a×1(N58))~a|"
"𒜶","|(DUB@n~a×1(N58))~b|"
"𒝳","|(DUG~b&DUG~b)×1(N58)|"
"𒝆","|(DUG~b×DIN)@r|"
"𒠉","|(GI&GI)×GIŠ@t|"
"󲐴","|(GI&GI)×ŠE₃|"
"𒠡","|(GIŠ×(DIN.DIN))~a|"
"𒠢","|(GIŠ×(DIN.DIN))~b|"
"𒠣","|(GIŠ×(DIN.DIN))~c|"
"𒠤","|(GIŠ×ŠU₂)~a|"
"𒠥","|(GIŠ×ŠU₂)~b|"
"󲃶","|(HI×1(N57)).(HI×1(N57))|"
"𒨅","|(SUKUD+SUKUD)~a|"
"𒨆","|(SUKUD+SUKUD)~b|"
"󲑵","|(SUKUD+SUKUD)~d|"
"𒨐","|(ŠA×HI@g~a)~a|"
"𒨑","|(ŠA×HI@g~a)~b|"
"󲉑","|1(N02).RU|"
"󰄭","|1(N34)×1(N58)|"
"󲊏","|1(N57).AB₂|"
"𒯬𒛮","|1(N57).BU₃|"
"𒯬𒤤","|1(N57).MUŠEN|"
"󲊦","|1(N57).SIG|"
"󲊨","|1(N57).ŠAH₂~a|"
"󲈞","|1(N57).ŠUBUR|"
"󲊮","|1(N57).URU~a1|"
"𒤥","|1(N58).BAD|"
"󲊐","|2(N57).AB₂|"
"󲊕","|2(N57).BIR₃~a|"
"󲊞","|2(N57).KU₆~a|"
"𒯭𒤤","|2(N57).MUŠEN|"
"󲊧","|2(N57).SU~a|"
"󲊩","|2(N57).ŠUBUR|"
"󲊯","|2(N57).URU~a1|"
"󲊑","|3(N57).AMAR|"
"𒯮𒛂","|3(N57).AZ|"
"󲊔","|3(N57).BARA₃|"
"󲈠","|3(N57).E₂~b|"
"𒯮𒞍","|3(N57).EN₂|"
"󲊗","|3(N57).GAR|"
"󲊟","|3(N57).LAM~a.KUR~a.RU|"
