"Sign","Name","Name1","Name2"
"𒤦","|(1(N58).BAD)~b|","|(1(N58).BAD)~b|, |(1(N58).BAD)~b|","|(1(N58).BAD)|"
"𒛫","|(BU~a&BU~a).NA₂~a|","|(BU~a&BU~a).NA2~a|, |(BU~a&BU~a).NA₂~a|","|(BU&BU).NA₂|"
"󲐏","|(BU~a&BU~a).X|","|(BU~a&BU~a).X|, |(BU~a&BU~a).X|","|(BU&BU).X|"
"𒛬","|(BU~a%BU~a).NA₂~a@n|","|(BU~a%BU~a).NA2~a@n|, |(BU~a%BU~a).NA₂~a@n|","|(BU%BU).NA₂|"
"𒜵","|(DUB@n~a×1(N58))~a|","|(DUB@n~a×1(N58))~a|, |(DUB@n~a×1(N58))~a|","|(DUB×1(N58))|"
"𒜶","|(DUB@n~a×1(N58))~b|","|(DUB@n~a×1(N58))~b|, |(DUB@n~a×1(N58))~b|","|(DUB×1(N58))|"
"𒝳","|(DUG~b&DUG~b)×1(N58)|","|(DUG~b&DUG~b)×1(N58)|, |(DUG~b&DUG~b)×1(N58)|","|(DUG&DUG)×1(N58)|"
"𒝆","|(DUG~b×DIN)@r|","|(DUG~b×DIN)@r|, |(DUG~b×DIN)@r|","|(DUG×DIN)|"
"𒠉","|(GI&GI)×GIŠ@t|","|(GI&GI)×GIŠ@t|, |(GI&GI)×GIŠ@t|","|(GI&GI)×GIŠ|"
"󲐴","|(GI&GI)×ŠE₃|","|(GI&GI)×ŠE3|, |(GI&GI)×ŠE₃|","|(GI&GI)×ŠE₃|"
"𒠡","|(GIŠ×(DIN.DIN))~a|","|(GIŠ×(DIN.DIN))~a|, |(GIŠ×(DIN.DIN))~a|","|(GIŠ×(DIN.DIN))|"
"𒠢","|(GIŠ×(DIN.DIN))~b|","|(GIŠ×(DIN.DIN))~b|, |(GIŠ×(DIN.DIN))~b|","|(GIŠ×(DIN.DIN))|"
"𒠣","|(GIŠ×(DIN.DIN))~c|","|(GIŠ×(DIN.DIN))~c|, |(GIŠ×(DIN.DIN))~c|","|(GIŠ×(DIN.DIN))|"
"𒠤","|(GIŠ×ŠU₂)~a|","|(GIŠ×ŠU2)~a|, |(GIŠ×ŠU₂)~a|","|(GIŠ×ŠU₂)|"
"𒠥","|(GIŠ×ŠU₂)~b|","|(GIŠ×ŠU2)~b|, |(GIŠ×ŠU₂)~b|","|(GIŠ×ŠU₂)|"
"󲃶","|(HI×1(N57)).(HI×1(N57))|","|(HI×1(N57)).(HI×1(N57))|, |(HI×1(N57)).(HI×1(N57))|","|(HI×1(N57)).(HI×1(N57))|"
"𒨅","|(SUKUD+SUKUD)~a|","|(SUKUD+SUKUD)~a|, |(SUKUD+SUKUD)~a|","|(SUKUD+SUKUD)|"
"𒨆","|(SUKUD+SUKUD)~b|","|(SUKUD+SUKUD)~b|, |(SUKUD+SUKUD)~b|","|(SUKUD+SUKUD)|"
"󲑵","|(SUKUD+SUKUD)~d|","|(SUKUD+SUKUD)~d|, |(SUKUD+SUKUD)~d|","|(SUKUD+SUKUD)|"
"𒨐","|(ŠA×HI@g~a)~a|","|(ŠA×HI@g~a)~a|, |(ŠA×HI@g~a)~a|","|(ŠA×HI)|"
"𒨑","|(ŠA×HI@g~a)~b|","|(ŠA×HI@g~a)~b|, |(ŠA×HI@g~a)~b|","|(ŠA×HI)|"
"󲉑","|1(N02).RU|","|1(N02).RU|, |1(N02).RU|","|1(N02).RU|"
"󰄭","|1(N34)×1(N58)|","|1(N34)×1(N58)|, |1(N34)×1(N58)|","|1(N34)×1(N58)|"
"󲊏","|1(N57).AB₂|","|1(N57).AB2|, |1(N57).AB₂|","|1(N57).AB₂|"
"𒯬𒛮","|1(N57).BU₃|","|1(N57).BU3|, |1(N57).BU₃|","|1(N57).BU₃|"
"𒯬𒤤","|1(N57).MUŠEN|","|1(N57).MUŠEN|, |1(N57).MUŠEN|","|1(N57).MUŠEN|"
"󲊦","|1(N57).SIG|","|1(N57).SIG|, |1(N57).SIG|","|1(N57).SIG|"
"󲊨","|1(N57).ŠAH₂~a|","|1(N57).ŠAH2~a|, |1(N57).ŠAH₂~a|","|1(N57).ŠAH₂|"
"󲈞","|1(N57).ŠUBUR|","|1(N57).ŠUBUR|, |1(N57).ŠUBUR|","|1(N57).ŠUBUR|"
"󲊮","|1(N57).URU~a1|","|1(N57).URU~a1|, |1(N57).URU~a1|","|1(N57).URU|"
"𒤥","|1(N58).BAD|","|1(N58).BAD|, |1(N58).BAD|","|1(N58).BAD|"
"󲊐","|2(N57).AB₂|","|2(N57).AB2|, |2(N57).AB₂|","|2(N57).AB₂|"
"󲊕","|2(N57).BIR₃~a|","|2(N57).BIR3~a|, |2(N57).BIR₃~a|","|2(N57).BIR₃|"
"󲊞","|2(N57).KU₆~a|","|2(N57).KU6~a|, |2(N57).KU₆~a|","|2(N57).KU₆|"
"𒯭𒤤","|2(N57).MUŠEN|","|2(N57).MUŠEN|, |2(N57).MUŠEN|","|2(N57).MUŠEN|"
"󲊧","|2(N57).SU~a|","|2(N57).SU~a|, |2(N57).SU~a|","|2(N57).SU|"
"󲊩","|2(N57).ŠUBUR|","|2(N57).ŠUBUR|, |2(N57).ŠUBUR|","|2(N57).ŠUBUR|"
"󲊯","|2(N57).URU~a1|","|2(N57).URU~a1|, |2(N57).URU~a1|","|2(N57).URU|"
"󲊑","|3(N57).AMAR|","|3(N57).AMAR|, |3(N57).AMAR|","|3(N57).AMAR|"
"𒯮𒛂","|3(N57).AZ|","|3(N57).AZ|, |3(N57).AZ|","|3(N57).AZ|"
"󲊔","|3(N57).BARA₃|","|3(N57).BARA3|, |3(N57).BARA₃|","|3(N57).BARA₃|"
"󲈠","|3(N57).E₂~b|","|3(N57).E2~b|, |3(N57).E₂~b|","|3(N57).E₂|"
"𒯮𒞍","|3(N57).EN₂|","|3(N57).EN2|, |3(N57).EN₂|","|3(N57).EN₂|"
"󲊗","|3(N57).GAR|","|3(N57).GAR|, |3(N57).GAR|","|3(N57).GAR|"
